,name,summonerIds,accountIds,totalChampScores,Champ1,Champ1Points,Champ2,Champ2Points,Champ3,Champ3Points,rank
205,dkrdkr,32047055,46820111,183,59,89089,222,79687,5,65916,SILVER
206,mshen2000,69042666,229513599,205,103,90251,98,73185,245,65150,SILVER
207,Herding Cats,262508,289343,375,40,491335,17,255403,432,205291,SILVER
208,Darkoh POD,72702437,231552224,160,53,79976,62,46628,157,37258,SILVER
209,TheAngryPirateX2,72829649,231431796,261,133,147402,58,120298,91,114701,BRONZE
210,FlareXG,45062259,207881346,373,67,132430,64,127267,157,114816,PLATINUM
211,IIlIIIIlIIlIIlII,25823513,40298952,398,112,601397,102,404191,131,301534,GOLD
212,Cletoman,60273435,221558291,490,64,392921,157,322614,222,255672,PLATINUM
213,UncleFatlip,83731621,237158487,156,90,813056,13,193380,57,190951,SILVER
214,mage23514,70379354,230426089,334,23,375862,120,223064,54,180642,PLATINUM
215,DÃªlusional ,43736303,206509579,376,157,188421,84,169339,67,158319,PLATINUM
216,iPlaymaker KR,81594701,235922926,227,64,219560,114,120807,92,107806,PLATINUM
217,Kakateo,21957718,35498533,122,236,122827,202,79550,18,78579,PLATINUM
218,Maybeifyouhelpme,29472502,43632728,39,89,39170,16,33576,33,30579,GOLD
219,DC24,44473322,207268884,129,131,59212,238,38568,51,36105,PLATINUM
220,Ryuzaaki,41944322,204834759,51,98,25809,67,24255,31,13716,SILVER
221,What The Spenny,47489876,210177230,308,98,382944,412,108377,119,90656,BRONZE
222,ChillyGlitch,38813643,201655961,175,79,138173,13,53125,81,49592,SILVER
223,puraxnoe,47462274,210272075,265,24,135920,39,119193,222,98371,GOLD
224,Ecose,19808102,32536578,229,37,51039,81,41334,51,40259,SILVER
225,4NEONFIRE,26473462,37387245,38,67,17107,64,8708,59,8224,BRONZE
226,Jester1337,22539038,36374999,114,35,20758,19,20367,36,16302,SILVER
227,watruw8ing4,34043476,48378924,284,12,118023,157,58955,254,45149,SILVER
228,silvermannsp,62079969,225668087,154,42,175168,18,77402,81,56332,SILVER
229,ObeseTabbyCat,57740955,219295873,415,35,212456,78,124872,25,115717,SILVER
230,TempusER 1998,74149533,232387422,329,81,330478,157,157849,67,126427,GOLD
231,the legend 32,49789843,212465159,425,222,180691,236,158841,64,121770,GOLD
232,IchBinEinFeeder,42066657,204987770,437,64,121581,92,112468,157,78108,GOLD
233,BIG sinister69,45735968,208813335,378,34,133255,99,70274,63,65537,SILVER
234,Sinister Bait,38333705,201296082,354,29,121413,35,109007,1,71928,GOLD
235,xolente,87080424,40305416,135,31,120974,25,103427,19,85307,GOLD
236,dondarr,45176655,208005301,252,222,137704,81,79195,29,72174,GOLD
237,LeftSmiling,25759304,40244514,239,81,70349,80,45505,5,36308,GOLD
238,Deadly Orange,55522480,217424365,238,157,695546,134,97456,107,85015,PLATINUM
239,IKouhai,69099198,206029705,251,103,122503,16,118452,117,110260,GOLD
240,FalconMunch,49009078,211842669,346,29,236830,25,223416,53,187390,GOLD
241,Juneblade,47359720,210070657,487,81,111240,29,81711,104,80783,GOLD
242,Come Float,58933571,220131222,400,157,1425149,238,196482,122,120839,GOLD
243,FoodStampGod,37107624,200173657,338,103,662866,64,148063,412,92674,PLATINUM
244,Zfiggy,40623472,202374557,501,157,109171,202,92831,80,74261,PLATINUM
245,DisisyetÃ© Anyos,48222215,211079036,205,64,153320,4,64069,51,60451,PLATINUM
246,daddyTouchesMe,32392630,47198326,535,122,202213,412,156496,68,123919,PLATINUM
247,KirkyKahZ,47148328,209703490,158,76,176087,63,86680,105,46441,GOLD
248,Carry TheMiracle,47687629,210760103,295,119,306253,98,108593,99,101343,GOLD
249,Ember Celica,78563266,234404392,261,67,274614,60,183323,53,129726,PLATINUM
250,infierno2013,50910531,213556381,203,99,196353,22,193543,106,177029,SILVER
251,TheProdigy0987,72922733,231730349,202,99,213802,268,116520,103,103632,BRONZE
252,Legend Of,59629731,220693683,110,10,1612032,117,89268,75,36714,SILVER
253,budmans32,34541439,48918170,204,223,33732,76,33024,102,32933,SILVER
254,XtraSpatial,31472612,45930142,188,19,451382,45,271672,44,124014,SILVER
255,Drake132,75102299,232446015,198,157,59833,126,46215,45,43892,BRONZE
256,ATHURUS,71502157,230898670,377,69,206969,420,102686,40,70863,SILVER
257,FatalXLR,51024054,213951717,91,201,245975,89,201250,86,130960,BRONZE
258,BattleGuru,46359136,209299750,151,254,57535,102,26902,19,24462,SILVER
259,WayTooFly,51729705,214495932,325,77,67387,58,58436,82,56931,SILVER
260,mrfilmmkr,64802561,226929233,229,112,124425,236,118943,7,106325,GOLD
261,Shmangplank,66251615,227899583,397,67,142964,41,99294,157,70649,SILVER
262,On3R3m3dy,50598667,213498872,316,161,131350,53,102370,412,95286,SILVER
263,DioRu,82672239,236246815,359,50,135754,74,104199,83,102001,SILVER
264,Flaino,47475697,210403872,311,2,109173,61,54394,64,50749,SILVER
265,Ha55man,31437630,46061138,335,157,437234,238,195040,119,124673,SILVER
266,Hm01 As Hell,64869508,226799473,494,21,229412,67,193020,202,185307,SILVER
267,skalmannae,74350112,232411842,306,157,118298,53,55609,99,51700,SILVER
268,Tetrahfy,47169976,209786009,27,102,62409,427,19994,92,7487,SILVER
269,NathanExclusive,20784394,33899679,203,4,109370,103,59847,126,43782,SILVER
270,PGP,21509081,34925793,258,157,30638,85,21959,115,19050,GOLD
271,DuMaKebin,38572403,201491088,19,23,7644,86,2435,13,2373,SILVER
272,Zombie slayer968,40572223,203490358,254,119,139369,236,53866,58,53435,GOLD
273,leCero,48247261,211226320,247,81,68747,51,62974,236,55492,GOLD
274,Toxic Aerosol,83499637,236931171,79,55,153944,134,30850,161,18561,GOLD
275,Spyeria,63889303,223455755,356,17,85606,245,78988,103,74829,GOLD
276,Feelz Bard Man,75689220,232969555,51,432,69592,90,20968,12,11820,SILVER
277,G0r3h0und,54431912,216803851,273,81,122618,236,121212,429,84609,GOLD
278,Nostalgiac,40299550,203168210,375,105,122637,412,74874,236,63828,GOLD
279,Farewell Turtle,35900721,50509463,187,67,177009,236,72817,412,32384,PLATINUM
280,KiMoJi S,47567919,210470105,150,412,36389,222,26967,53,20986,GOLD
281,Decorative Noose,43516780,206232498,347,412,59280,432,45643,245,41403,GOLD
282,Veltaz,29198354,43528055,295,107,149861,121,149717,92,53123,GOLD
283,Gangaruno,21874816,35436644,480,236,58811,245,58739,81,56486,GOLD
284,Nilaga,46811306,209742885,352,267,60874,201,53792,40,51944,SILVER
285,Zyas,40330581,203198155,64,26,46759,51,9741,498,6578,SILVER
286,LyraOrpheus,51532804,214287407,55,11,19565,498,18949,157,16516,SILVER
287,The Wa1ker,20242017,33126652,246,56,127529,32,120463,80,106407,GOLD
288,Jabagenia,21002421,34218034,137,80,104326,31,48784,59,40623,GOLD
289,Marcus Brine,33341282,48127940,354,55,69111,63,41564,222,39637,GOLD
290,Nixiero,76521216,233419846,123,81,117022,37,80640,99,73954,BRONZE
291,Cosmic DNA,28369719,42546818,200,75,870428,27,469452,50,277571,SILVER
292,TuChileMexicano,77020708,233757162,112,245,145633,81,111082,86,107085,BRONZE
293,Nagualo,20429752,33341711,300,67,160248,51,87038,23,68479,BRONZE
294,Auquas,64580266,226758230,188,13,183668,11,96094,37,81315,SILVER
295,Havoc1001,49298970,212359398,147,236,90749,51,65582,7,49993,SILVER
296,FuzzInYoFace,66642186,228288403,339,157,280230,122,135405,238,133995,SILVER
297,Admiral Hampton,34862851,49341167,238,202,290791,22,241380,222,156507,BRONZE
298,Erecta,23549759,37664812,37,5,300856,19,135229,412,8249,SILVER
299,aboynamedRufio,52261269,215075309,318,127,405540,163,259403,112,166626,SILVER
300,CaribouCarp,28420576,42565383,382,429,71435,51,64792,81,59058,GOLD
301,datgnargnar,72379754,231294223,340,98,496617,412,264965,432,142460,SILVER
302,StealthyBeaver,43554501,206173209,140,134,242436,103,120667,202,96375,GOLD
303,Jibop Jopip,29341630,43613249,330,63,162794,81,70668,163,69600,GOLD
304,jason61,77132607,233824822,248,81,120792,17,117967,64,107546,PLATINUM
305,I Cant Piss,25234094,39800471,331,27,100834,122,80479,19,76791,PLATINUM
306,degmont,40082961,35148693,246,7,79776,55,76114,81,62998,GOLD
307,Raymond 0104,50988208,214095777,132,7,122147,51,106497,112,62418,PLATINUM
308,Epilepsy,51040788,213855213,26,429,46974,101,2668,51,2616,GOLD
309,IDontGankMid,66541473,228074706,192,11,132257,107,69806,121,43480,GOLD
310,cchanner,84711013,223244376,137,84,381937,55,172871,131,85172,BRONZE
311,Armonoid,45551100,208355028,67,106,289006,51,142396,62,113524,BRONZE
312,TheMcFallen,76822118,233638618,88,19,288959,78,268599,266,224411,SILVER
313,nsully1028,71959495,231121951,123,102,24379,96,22040,86,15800,BRONZE
314,sscottio97,68529488,229185440,364,157,62971,222,60103,122,42154,BRONZE
315,BillyBlades,45722614,208683698,276,44,169045,111,94457,99,58413,SILVER
316,jerk124,70423371,230565969,172,21,165083,11,104930,5,43023,BRONZE
317,AC3e,37869182,47350560,120,11,210690,63,104314,22,61392,BRONZE
318,DMNDSnipez,65570394,227478544,135,498,33621,157,28904,99,27519,BRONZE
319,iSoNexus,35110260,49485977,221,245,55201,157,52057,122,40363,BRONZE
320,THRÃ‹Å H BÃ–T,55512284,217372098,388,412,85600,96,85463,222,82337,SILVER
321,TheBlackHamm3r,52290393,215054079,394,238,121478,236,101938,51,71919,SILVER
322,EmeraldRang3r,50920153,213536403,279,23,295680,36,158984,37,47911,SILVER
323,ANHNT2407KR,83329884,236750250,106,11,100648,17,80559,133,35557,BRONZE
324,Tazer994,68080000,228894435,244,25,251696,202,73418,240,60858,BRONZE
325,WatskyKills,64079925,223989431,126,412,133682,53,104051,24,82081,SILVER
326,Sexy PartyPooper,35949397,50495925,229,67,61824,64,58643,157,45790,BRONZE
327,hackdown21,72819368,231425304,410,105,344652,238,232763,11,205336,GOLD
328,Kat Chow,53640208,216300922,359,55,359612,63,174079,157,174004,GOLD
329,Mikasa104th,47694031,210648098,367,83,213718,86,148965,90,140276,SILVER
330,martinilittleboy,24473150,38829223,210,143,317339,51,29928,57,25796,SILVER
331,ohxay,50920935,213568106,262,92,110284,67,110278,99,80090,GOLD
332,Broadbeard,26055760,40751556,242,75,310521,107,297056,89,141184,GOLD
333,Scoop Miester,38161280,201162855,77,112,46751,90,19396,48,17643,GOLD
334,Areschris,20630330,33681132,238,81,198041,35,136263,11,128337,GOLD
335,Protero,36844762,51294954,276,236,179874,67,143665,81,122683,PLATINUM
336,MAMAMOO Moonbyul,35572755,50169862,55,40,680350,16,250720,267,70148,GOLD
337,SlÃ´th,71271381,230713760,309,412,106047,201,56573,25,47157,GOLD
338,JumpingJeremy,56805637,218735028,449,86,164172,134,130913,59,109653,PLATINUM
339,DoctorDong4,34647149,49048980,155,99,343218,161,72235,18,70736,GOLD
340,archona,19849238,32590942,380,48,120900,412,102331,77,102238,PLATINUM
341,Mirana,21673461,35159036,369,64,148044,79,54106,59,53029,DIAMOND
342,Plazbo,19965444,32744139,450,24,102545,27,95326,64,63699,PLATINUM
343,Azurelyt,76289945,233374044,264,412,109487,55,79533,236,68403,PLATINUM
344,GbergStacks,68231951,228988770,446,4,99460,25,83919,103,71780,DIAMOND
345,Mrlawlman1,57322216,218977147,450,64,211763,268,141642,412,127703,DIAMOND
346,StompKnee,64229213,226607383,344,154,131872,64,115634,58,111183,DIAMOND
347,Fork in Outlet,24967279,39458763,310,202,305321,51,147681,498,130428,DIAMOND
348,GÃ  NuÃ´ng,32780122,47553560,334,236,215465,432,84493,202,75687,PLATINUM
349,BSL,30475425,44691152,195,28,418417,67,186165,113,98853,PLATINUM
350,F1AM1NGF1RE754,70373148,230586534,183,55,91331,222,44563,11,42616,SILVER
351,Soy tu papÃ¡,80891070,235184795,172,37,42978,18,31648,412,31013,SILVER
352,PermaFriedRice,23978143,38203999,81,498,31418,18,28765,429,15021,SILVER
353,Gonchung,34412005,48821441,240,37,125108,120,84100,32,71008,SILVER
354,Fluffy Henry,80880176,235163394,212,86,40632,51,36675,18,36524,SILVER
355,Freak the Mighty,35503174,45404535,221,51,108259,22,70303,236,53336,SILVER
356,iZyzzzz,83099891,236754372,21,11,118239,420,113923,23,43128,SILVER
357,Nanochan123,65861798,227708313,383,44,91459,53,84812,54,50966,SILVER
358,badazz8,23346753,37409171,320,5,140729,54,126488,17,122720,GOLD
359,tonyftw805,23344697,37406189,189,89,65648,90,55235,17,34454,SILVER
360,Grim R3aper,215394,242231,230,84,326265,99,52184,131,47674,PLATINUM
361,Darkplaguemaster,48204755,211109335,352,1,252368,67,139704,105,75784,PLATINUM
362,Queen ElizabÃ¬tch,48384232,211387694,197,92,935331,164,48297,64,38571,PLATINUM
363,halfsleeper,53917388,216637373,110,40,404723,37,206891,497,119528,DIAMOND
364,BatMatt,39902589,202890001,334,119,177601,157,109438,141,103893,PLATINUM
365,AatroxThe Darkin,57393985,219041555,365,1,108748,25,103795,68,83339,PLATINUM
366,Im Fizz,45012757,207886058,245,105,217698,90,70000,1,51225,PLATINUM
367,lR E N G A lR ,68951553,229468259,473,92,149659,82,140380,64,119931,PLATINUM
368,Smitherzz,31602885,46179884,504,76,128974,131,102603,421,85521,DIAMOND
369,1207,42827065,205340412,201,236,142619,245,77516,67,58778,PLATINUM
370,Adoption Parade,72142431,231243039,245,41,341951,4,307822,245,181974,SILVER
371,ÃŸex,21473430,34860421,239,222,124049,99,79439,67,71976,GOLD
372,NIDALEE ADDICT ,43548984,206259770,10,76,767812,11,1347,16,372,SILVER
373,FreddyMC,21641632,35107522,242,143,349794,106,88218,59,44642,SILVER
374,Hestle,35695651,50415151,132,83,56615,35,55731,245,48014,SILVER
375,Arthamiels,88969263,203074466,381,157,140946,11,48637,238,36370,SILVER
376,EP1CT4CO,32244305,47007114,170,222,175260,133,168333,25,74393,SILVER
377,MLoE,31417786,46063054,167,92,45786,67,33181,24,30716,SILVER
378,Ap3xDisciple,47575265,210396195,218,141,52711,11,42716,82,36400,SILVER
379,Strife328,28785729,42981773,200,21,96051,90,40797,1,40126,SILVER
380,MansurUmut,85539084,237753753,118,86,40660,56,27421,90,23397,SILVER
381,RunRiverNorth,44183401,206978484,484,63,118447,432,115941,40,111215,SILVER
382,breezy2005,72490942,231343354,370,157,172618,106,110590,92,104983,SILVER
383,matthew656,44968236,207781097,314,157,118414,67,81410,64,65584,SILVER
384,ChampVegetarian,60139119,219730600,291,32,96258,81,81015,64,68872,SILVER
385,Dirty Animal ,65006969,227112593,129,497,37581,86,36888,122,24833,BRONZE
386,NaLmunati,19867548,32614012,201,102,475573,222,268073,89,171681,SILVER
387,LIFEDIE101,65891514,227712487,481,86,139928,133,89124,53,87950,SILVER
388,stephanson7265,61542648,223313724,231,157,99182,238,69052,45,55517,SILVER
389,Ebuks,52310255,215031328,243,119,56645,238,45419,107,42923,SILVER
390,Arlyg209,82690418,236164233,151,21,36368,254,21860,58,21098,SILVER
391,gonzo1833,20201313,33069917,223,40,54847,106,41414,122,39519,SILVER
392,Cranomor,65493658,227604285,183,55,105614,53,93875,429,76128,SILVER
393,ChasosKing74120,53281318,215986607,170,92,126560,157,64604,222,49093,SILVER
394,x HerbZ,24735723,39155126,235,89,68921,90,45243,37,40406,SILVER
395,DONUTSKA,68041705,228965147,450,157,317875,222,200563,236,158564,SILVER
396,1 Ãêraco,24458418,38811595,200,29,63437,51,59047,119,44746,SILVER
397,Tutsu,55959727,217708359,53,11,31413,114,30710,75,21305,BRONZE
398,Inori1,58364853,219627462,272,19,95278,141,86454,102,69340,BRONZE
399,Seikiki,48120720,211028691,145,58,345386,86,305278,25,150962,SILVER
400,2 Riven S,31532477,46172494,384,92,442988,64,154538,157,104893,GOLD
401,Reverent X Ruler,20968941,34170617,319,5,53232,102,52687,245,52620,GOLD
402,Judge Arcadia,25162788,39692077,216,420,50340,240,35372,2,28993,SILVER
403,Coorta117,20285025,33183864,259,5,174086,36,170905,75,126013,GOLD
404,Skip2MyLoo11,39950626,202844194,158,63,42811,34,35170,35,34828,SILVER
405,xxRandomDude,86982317,238156268,173,267,79633,154,45265,63,42059,SILVER
406,Lggychenyihan,81040467,235350769,77,222,274399,37,34874,157,24198,SILVER
407,Six God carry,47882180,210895466,252,55,103957,51,97317,99,82605,SILVER
408,Vegabond12,54782846,216973901,186,236,47329,104,24497,96,22563,SILVER
409,Crux321,54820337,216949630,289,254,101100,32,99472,110,72351,GOLD
410,Sir Gankselot,28522194,42822094,313,223,195716,432,127442,44,76350,PLATINUM
411,JÃ_ked,19483411,32177295,87,112,104036,51,41381,7,33061,PLATINUM
412,TheBosnianMenace,20585070,33603603,347,245,137905,61,97230,81,95563,DIAMOND
413,Arbedardar,32459490,47126544,95,12,135448,37,120276,3,85662,PLATINUM
414,guyman609,20687468,33763181,204,86,144976,36,81841,45,43745,PLATINUM
415,Raclex,24511268,38874179,69,32,116099,19,61257,18,43078,PLATINUM
416,RipOldGraves,76692061,228438954,54,236,94840,104,42173,15,11683,GOLD
417,NoMercy27 Dd,51851678,214866785,219,11,335621,81,267012,111,237609,GOLD
418,Althea Moontide,47571320,210267590,150,412,265568,201,176710,40,93716,PLATINUM
419,Kennylau96,24456834,38809911,155,7,65159,268,33664,41,27607,GOLD
420,Figmo,20713683,33798135,315,1,251887,80,89451,103,87194,PLATINUM
421,Codeski,24447104,38796258,171,110,126637,40,102050,201,90091,PLATINUM
422,AnimatedElk90,58484790,219653698,327,41,174146,122,169329,157,154734,GOLD
423,CÃ¸nnor,76432389,233450689,302,58,111220,202,57506,11,44477,SILVER
424,Duckaroni,74821774,232706969,277,267,201199,201,135981,37,84771,GOLD
425,teammatesarebad,80899194,35764755,224,254,90776,98,71873,104,59877,GOLD
426,DrAdam,21748243,35259719,66,61,98245,1,59566,10,40038,GOLD
427,Cilcen,27400922,41961054,474,33,117844,201,112000,58,97167,GOLD
428,HMS Reformed,38039838,200865580,386,202,95273,18,53119,157,51050,SILVER
429,Testaryker,50848248,213802786,487,202,115247,412,99005,40,98051,GOLD
430,Collision 22,51381225,214238654,374,157,225346,238,148304,92,102487,GOLD
431,Extra Special,64600737,226671683,342,67,285415,64,102613,104,95143,GOLD
432,BrainMantis,20123029,32959066,338,114,33271,202,30765,420,26183,GOLD
433,The Fire Ferret,39069997,201843227,348,99,166092,134,82996,103,79229,DIAMOND
434,MarshmellÃµ,36465152,50868540,301,62,181761,222,78464,17,68171,GOLD
435,Super 5 cjy,60639997,221913726,206,37,726386,99,313102,21,300217,PLATINUM
436,Ä„hrÃ®,52381484,215085088,211,103,1330185,67,126027,150,112694,PLATINUM
437,Yokomi,19827867,32562967,179,40,359665,16,113380,90,52152,PLATINUM
438,CÃ¸brÃ¥,35523272,50177300,251,236,147626,67,117155,498,107365,PLATINUM
439,FriteSauceMozz,78702582,234383482,109,99,83006,131,78085,18,58772,PLATINUM
440,FootmenFrenzy,20793044,33908991,307,64,156798,81,123513,25,106487,GOLD
441,goldencrisp,37802692,200646627,411,161,143335,432,142486,412,112034,SILVER
442,oSinatra,44948932,207784207,513,25,91791,16,67317,157,64773,SILVER
443,Yasugio,73008984,231976012,254,157,232274,238,171730,119,156360,GOLD
444,decsat,50412121,213063185,432,67,136082,18,119986,81,101430,GOLD
445,HaÅ Å an2Fast142,73629809,209811145,346,92,173704,202,154266,157,92766,GOLD
446,Catimsy,68833246,229536444,99,37,579730,103,176968,40,131851,GOLD
447,VernaParadox,67961256,227138569,41,92,92894,7,17010,105,6941,GOLD
448,GoogleV2,47645575,210405301,345,236,98173,29,72312,222,60977,SILVER
449,StrikeAlpha,28774838,42936110,269,133,411934,37,260805,51,100198,SILVER
450,RyanMeek,40917395,203202705,225,21,740142,25,392599,51,271831,GOLD
451,2016 Rox TGO,20855058,34002602,11,202,4321,77,1556,99,1243,NA
452,Bobbz,56839676,218551522,225,202,237933,24,235314,21,226335,SILVER
453,Bobbz Jr,80500745,234958160,97,22,43810,120,43212,18,32977,GOLD
454,Koskha,81672863,235826895,283,245,125319,64,112266,104,109810,SILVER
455,brianpissinu,26175392,40747181,160,11,64193,24,60206,17,52913,GOLD
456,Haze for Dayz,50889842,213533223,342,64,186010,236,146916,412,67856,SILVER
457,I Adz I,34194584,48654297,398,238,106790,55,80567,90,64598,SILVER
458,VaudeVV,74572767,232567291,150,19,70055,37,29582,86,20260,BRONZE
459,Support in a Box,44105153,206756872,404,35,645456,80,174237,72,151692,SILVER
460,Dragon00Slayer32,75809613,232986305,356,17,200859,11,129937,5,87707,SILVER
461,StrangeFantasies,71081179,230708073,272,92,355940,106,77761,60,77109,SILVER
462,YungForever,44410843,207030491,124,67,191695,99,90348,236,56243,SILVER
463,Watchin Hentai,79680105,234798296,159,412,69984,498,55831,119,42587,SILVER
464,A SCARY N0ISE,40870038,203856824,392,412,180421,222,107112,99,94559,SILVER
465,Show Stopper 59,48448289,211494872,91,53,63039,412,49409,106,39717,BRONZE
466,ayeyoocriss,40847939,204051985,244,412,348010,157,290008,131,245427,GOLD
467,Seeker99,72651983,231536104,252,104,475679,55,292162,254,118702,SILVER
468,JhaNz,81539198,202453182,312,105,95011,150,62031,5,49030,SILVER
469,Jayce In Case,37375501,200347345,336,126,243307,98,103841,24,47685,SILVER
470,BlueInferno,21772423,35283339,275,79,84777,61,58138,30,57843,GOLD
471,phs,23454235,37543300,309,84,108188,17,88568,51,79486,GOLD
472,BestGreenTeaJp,88081246,239331830,128,18,48631,412,27996,75,25104,GOLD
473,LegendofTochigi,51081664,213904115,239,53,108444,5,72336,157,64560,GOLD
474,Zero DSK,24419443,38764780,74,17,199863,1,34881,45,24018,GOLD
475,Alsoned,30977237,45316393,307,27,167113,102,47279,427,44326,GOLD
476,StakeMe2147M,23765295,37934686,191,38,226277,64,102626,429,70378,GOLD
477,bblala,48408412,211510857,324,92,163591,67,136999,238,127845,GOLD
478,blackjesus129,48245065,211160773,141,2,235872,23,131212,111,54468,GOLD
479,nookiepooh12,44223274,206967876,319,14,260744,201,125498,111,109066,GOLD
480,Ryangela4019,82823369,236470280,91,67,255199,45,81771,7,26283,BRONZE
481,xTYZx,22940852,36890587,21,38,42525,56,35953,55,5760,BRONZE
482,JustSavalas,65542164,227542597,228,98,175030,107,118098,29,104491,BRONZE
483,Eastboy12,50882994,210611341,52,26,224702,432,168768,29,43076,BRONZE
484,silverbain1,56798944,218827076,203,102,52993,267,35712,17,31694,BRONZE
485,heheXD11111,87882384,239015839,145,238,48573,91,44873,115,29749,BRONZE
486,Number1Hero,48640463,211564677,104,1,219858,17,109771,99,85065,BRONZE
487,Arashi Rogue,63652184,226285925,143,202,224626,24,95646,17,89524,BRONZE
488,BearKingSama,53030935,215704196,84,157,267456,238,30751,113,18759,BRONZE
489,Bloodstone67,21299936,34615175,147,9,228534,48,214584,420,196258,BRONZE
490,FuukieBookie,83309632,236738178,145,412,90142,53,73305,63,72276,SILVER
491,VeLLa GaTeS,55444696,217475240,207,154,267540,7,217018,43,139576,SILVER
492,Logan Fang,71819858,230972718,448,17,236672,44,144972,86,133697,SILVER
493,Menorah,27461241,41992871,416,245,120467,157,77233,64,51191,SILVER
494,freejakep,37964687,201014203,158,11,307628,37,139001,75,130300,SILVER
495,SHOisBro,21278980,34600263,243,51,447266,412,316439,222,180653,SILVER
496,ThiccJezuz,48700370,211571279,534,238,153730,122,143061,41,126307,GOLD
497,MoTiioN14,32494747,47431618,370,236,59491,99,50729,41,42392,SILVER
498,Mutebias,78520089,234270200,236,17,97217,23,88266,45,83371,BRONZE
499,raulitoo,36476823,50907966,261,81,212078,99,118885,53,62800,GOLD
500,Ezzy,31185226,45744241,308,61,58210,64,42499,67,37202,SILVER
501,Behouilechat,52721551,215464476,399,157,106577,67,65095,81,58653,SILVER
502,ArtIsMySin13,54371653,216792539,197,22,374717,222,198980,203,146161,SILVER
503,KaÃ¿ncer,50662096,213278960,46,141,45358,119,40434,112,18388,SILVER
504,OliveTreee,64846896,227107561,254,143,182763,21,95545,267,82453,SILVER
505,xavlap,40893100,203927857,318,67,166804,222,75911,81,67809,SILVER
506,BrandonSchletz,48714904,211714383,77,412,39465,35,10897,55,9703,SILVER
507,Rainburst,605304,31668979,220,81,107944,99,83229,22,70957,GOLD
508,I am BasedGod,28441121,42582623,177,86,47962,23,37533,22,34439,GOLD
509,Busta Nuggett,31182136,45678006,146,117,64648,201,44922,99,40801,GOLD
510,AlphaOmega57,40439741,203429378,326,67,151375,119,139416,222,99391,PLATINUM
511,Sonny Joon,30340604,44550186,231,161,286852,115,78965,99,42852,PLATINUM
512,RedwÃ¸lf,50635259,213167055,397,107,159849,59,137277,28,104530,GOLD
513,Thrustin Beaver,41994903,204827418,307,64,93782,51,52549,105,46594,GOLD
514,dargonx the 1st,23715553,37873636,451,23,92170,1,89712,21,81383,GOLD
515,Zyzyks,259314,286150,313,22,184377,222,145539,21,135560,GOLD
516,Yrashsuo,56299146,218086150,300,105,439527,157,359001,131,158273,GOLD
517,Momoyama,60929817,222583557,81,89,629217,98,451233,412,282326,PLATINUM
518,74872518DEL1,74872518,232741853,151,141,56685,122,36940,133,33947,PLATINUM
519,TEEWHYY,39879497,202745311,335,84,282514,236,92671,157,63121,GOLD
520,Aronile2,78861544,234524575,222,11,236054,157,234536,141,159057,SILVER
521,Fat Neck McGee,45808128,208873508,117,157,435473,25,219418,18,177623,BRONZE
522,AlexAdventurer,31958438,46839272,162,412,245200,26,216815,89,120341,BRONZE
523,jagjoe,50524699,213150015,253,45,263974,122,248258,36,195001,SILVER
524,ProjectKalista,51061525,213898812,456,245,108144,21,77212,122,63073,SILVER
525,FRENCHHOMIE,72620700,231479061,88,222,927103,22,103035,202,101900,SILVER
526,meowman420,86489210,237967963,71,5,248598,22,107992,37,52148,SILVER
527,beastmarc,64819689,226822720,71,245,179645,102,168276,2,115165,SILVER
528,Mega Adhesive,21214650,34516274,329,432,271053,12,216600,412,135018,SILVER
529,SoyThor,34980386,49488156,195,68,65076,81,63940,102,48963,SILVER
530,KhÃ n,32293554,46987604,293,24,114735,126,72694,103,63026,PLATINUM
531,Nuris,52349592,215032110,312,103,252595,67,144690,222,144366,GOLD
532,Macbook Baby,23515984,37621481,230,54,505630,53,361910,22,272253,PLATINUM
533,0KKwang,40755511,203748635,120,126,494227,51,77410,9,47858,GOLD
534,GGFacePalm,26136415,40766545,126,41,126460,75,123230,98,78482,PLATINUM
535,Steelhardt,37261343,200254634,314,126,254524,157,100163,81,88689,PLATINUM
536,XCryptic,64776662,220588278,318,99,310999,25,219545,43,163947,PLATINUM
537,Zyne,46104720,209170216,106,36,142461,64,40813,23,24520,GOLD
538,NikKilik,39568667,202576930,395,90,136699,245,122710,236,99924,PLATINUM
539,DirtyJoe77,74672826,232565829,316,202,194577,22,175745,41,134605,PLATINUM
540,xXxFrostyTipsxXx,52680439,215348223,280,11,65802,77,45987,24,44610,GOLD
541,oChriis,46991789,209838698,335,412,130976,64,117106,35,100303,GOLD
542,B00TYSWEAT,34259940,48566738,306,245,114708,63,94221,202,82887,SILVER
543,Shisui614,55466645,217573249,275,67,86769,53,74535,11,46668,GOLD
544,UYEYEDEBABA,51072078,213168322,338,157,157883,86,83721,122,56988,GOLD
545,Alexthewarrior13,71151046,230695744,443,32,112759,114,88253,7,73978,GOLD
546,Eminent Regret,41869607,204387631,264,412,99320,64,93402,40,86139,GOLD
547,voka2,55005423,217142974,310,157,296048,64,102762,11,95105,GOLD
548,Lin Ruo Ji,77189580,233884501,276,64,197573,60,107265,104,98200,PLATINUM
549,SsssunYaN,21214257,34514561,245,99,324226,131,118431,51,115768,GOLD
550,gocoolindian,58750703,219751431,313,412,500810,4,330991,92,141002,PLATINUM
551,Vinemask,44604424,207458173,435,201,213154,85,158297,55,81909,PLATINUM
